by,descendants,id,kids,score,time,text,title,parts,type,url
castig,,16115517,,1,1515597791,,OneMonth.com (Learn to Code in 30 Days) Is Looking for a Cryptocurrency Writer,,job,https://docs.google.com/document/d/1-UePG2F7Bgb-oTvZxRhcHpSb6UqzYGLIPPnNzNLWSpc/edit#heading=h.fj1eyqsld6of
yunhakim,,16112523,,1,1515557898,,Simple Habit is hiring a senior product designer,,job,https://jobs.lever.co/simplehabit/40b5425e-4fce-4999-85cc-af78df97b52c?lever-origin=applied&lever-source%5B%5D=Hacker%20News&lever-source%5B%5D=https%3A%2F%2Fnews.ycombinator.com%2Fsubmit
DesaiAshu,,16111576,,1,1515544602,,"Student Experience Coordinator, Make School",,job,https://jobs.lever.co/makeschool/be9b9303-669b-434a-b09c-8205e9d23e16
ebrescia,,16109789,,1,1515530197,,Engineering and marketing = a pretty awesome role  Bitnami,,job,https://jobs.lever.co/bitnami/b218d6ad-c314-4244-b8b1-7ef6449d04f4
the_economist,,16107633,,1,1515517454,,BuildZoom (YC W13) is hiring an engineering manager,,job,https://jobs.lever.co/buildzoom/5d98e8d6-b8be-4871-a1de-109af3cb204d
jstreebin,,16104501,,1,1515486703,,EasyPost is hiring for everything,,job,https://www.easypost.com/jobs
edawerd,,16103764,,1,1515474237,,Gusto is hiring full-stack Rails and React engineers in SF and Denver,,job,https://gusto.com/about/careers
VictorHo,,16102710,,1,1515461495,"Are you a talented and creative email marketing manager who loves crafting deeply personalized, automated and scaled email marketing programs? As we continue to experience merchant and consumer growth, it&#x27;s important for us to engage with prospects and customers at the right time, and educate them about local business marketing and FiveStars’ product. You’ll be surrounded by a team of strong product and marketing people from Facebook, Google, Red Ventures and Twitter.<p>https:&#x2F;&#x2F;www.fivestars.com&#x2F;careers&#x2F;?gh_jid=738003",FiveStars is hiring an email growth marketer,,job,
eliam2,,16101152,,1,1515449238,,Willing Is Hiring Fullstack Engineers,,job,https://bequest.github.io/full-stack-engineer/
eastdark,,16098532,,1,1515434833,"Solving our own pain point, we are automating insurance shopping for American consumers. After a quick signup, a consumer&#x27;s insurance shopping and management are put on autopilot with us. Better deals automatically come to them for the rest of their lives. Switching takes only a single tap. It will save consumers time and money while giving them better protection.Please contact jobs@safebutler.com. We are a 4-person team based in Newark CA (across the bay from Facebook HQ). The company is backed by a group of angels, including YouTube co-founder. At this point, Bay Area candidates with US citizenship or greencard only please.",SafeButler (YC S17) is hiring engineers and ops to modernize insurance,,job,
thedogeye,,16095775,,1,1515406299,,Flexport is hiring software engineers,,job,https://www.flexport.com/careers/department/engineering
ayw,,16094390,,1,1515381367,,Scale API is hiring for engineers and ML practitioners,,job,https://www.scaleapi.com/about#jobs
nimz,,16093384,,1,1515367520,,Fullstack Academy (YC S12) is hiring devs in New York who love teaching,,job,https://www.workable.com/j/279B5D89EA
KMinshew,,16087767,,1,1515276924,,Join the Muse (YC W12) as a QA Lead and help 50M people with their careers,,job,https://www.themuse.com/jobs/themuse/qa-lead-335af6
timellis,,16086751,,1,1515264182,,Relativity (YC W16) is hiring a robotics engineer in LA to 3D-print rockets,,job,https://jobs.lever.co/relativityspace/d32eff17-7e9b-4f99-ad84-04524525f7d2
tyoung,,16084283,,1,1515223456,,PlanGrid (YC W12) Is Hiring Front End and Back End Engineers and More,,job,https://jobs.lever.co/plangrid
dariaevdo,,16083791,,1,1515211544,,VoiceOps is hiring engineers and salespeople in SF to build AI for b2b voice data,,job,https://voiceops.com/careers.html
jkurnia,,16083037,,1,1515199079,,Remote Volunteering at Zidisha (YC W14 Nonprofit),,job,https://www.idealist.org/en/nonprofit-internship/afe9be88300147c497f85abec1d8cd3d-p2p-microfinance-country-liaison-intern-zidisha-inc-sterling?
mwasser,,16081673,,1,1515186613,,BloomAPI (YC W17) Is Hiring a Senior Engineer in Seattle to Improve Healthcare,,job,https://www.bloomapi.com/careers
mrjasonh,,16080116,,1,1515174148,,Flowspace (YC S17) Is Hiring Senior Rails Developers in Cincinnati,,job,https://www.flow.space/careers/jobs/64585125
